Pick,Average Counting Stat Value By Pick,Average Rate Stat Value By Pick,Average Overall Value By Pick,WS Fraction,VORP Fraction,WS/48 Fraction,BPM Fraction,Average WS By Pick,Average VORP By Pick,Average WS/48 By Pick,Average BPM By Pick
1,84.0611111,83.4555556,84.5583333,100,100,100,100,72.7472222,28.6,0.13177778,1.78888889
2,77.9,73.2833333,76.0194444,56.241837,42.8656461,58.057084,58.5465426,49.9371429,15.2285714,0.10208571,0.07714286
3,82.0638889,77.8,81.0055556,65.8103905,62.4818421,67.0001676,79.6173073,54.925,19.8194444,0.10841667,0.94722222
4,76.7916667,71.2527778,75.0027778,58.8296567,45.8770009,49.9312887,57.0819871,51.2861111,15.9333333,0.09633333,0.01666667
5,75.7111111,70.5555556,73.4583333,59.4957572,51.1943482,49.7743335,55.1984379,51.6333333,17.1777778,0.09622222,-0.0611111
6,59.825,58.8555556,59.3444444,10.8864029,4.45391609,28.1929924,27.8869751,26.2944444,6.23888889,0.08094444,-1.1888889
7,71.1666667,66.7583333,69.2972222,32.4520746,20.5246487,35.9230364,44.3680303,37.5361111,10,0.08641667,-0.5083333
8,62.6194444,57.9555556,60.7361111,14.2275633,3.70616413,19.0503515,23.6489895,28.0361111,6.06388889,0.07447222,-1.3638889
9,70.0666667,66.5416667,68.1916667,44.7509553,31.0881288,49.1857515,40.6682016,43.9472222,12.4722222,0.09580556,-0.6611111
10,72.2638889,66.8194444,69.6694444,35.9904007,25.4503164,41.0633195,42.8880988,39.3805556,11.1527778,0.09005556,-0.5694444
11,66.8472222,66.6861111,67.3194444,21.2507753,15.4826641,47.7249469,44.9849887,31.6971429,8.82,0.09477143,-0.4828571
12,59.2277778,56.6111111,58.0305556,3.9962587,-1.7773503,14.3416953,14.365783,22.7027778,4.78055556,0.07113889,-1.7472222
13,61.9416667,59.0333333,61.0444444,26.7928842,19.2427882,29.2524401,31.1159166,34.5861111,9.7,0.08169444,-1.0555556
14,55.825,54.7305556,55.525,-0.3147441,-2.6200548,12.5367104,13.7603565,20.4555556,4.58333333,0.06986111,-1.7722222
15,54.1222222,52.1166667,53.7222222,9.93787568,8.68269929,14.2262211,15.7169412,25.8,7.22857143,0.07105714,-1.6914286
16,55.3388889,53.0194444,54.3666667,-5.8886736,-5.5991936,-12.497645,-10.523974,17.55,3.88611111,0.05213889,-2.775
17,50.9472222,48.275,50.0388889,-1.8920702,-3.3678068,-2.9233776,3.40083611,19.6333333,4.40833333,0.05891667,-2.2
18,56.9916667,54.4944444,54.8222222,3.64988641,-0.0207266,16.5390682,10.5986847,22.5222222,5.19166667,0.07269444,-1.9027778
19,50.1027778,48.7583333,49.6972222,-2.6594181,-7.3558173,-0.451333,3.06448804,19.2333333,3.475,0.06066667,-2.2138889
20,51.0722222,47.9138889,48.8944444,-13.983128,-15.687911,-4.2574968,0.50824276,13.3305556,1.525,0.05797222,-2.3194444
21,57.7888889,55.3722222,56.0805556,1.17199233,-2.1690299,-5.2777057,3.19902727,21.2305556,4.68888889,0.05725,-2.2083333
22,48.3361111,49.3416667,49.3194444,-10.114416,-10.465516,10.3785763,4.88076759,15.3472222,2.74722222,0.06833333,-2.1388889
23,56.4722222,53.1694444,54.3388889,-3.1563672,-10.545208,4.21696329,5.89173377,18.9742857,2.72857143,0.06397143,-2.0971429
24,55.9722222,55.275,55.6611111,11.7630673,10.5871778,15.194859,21.5290358,26.7514286,7.67428571,0.07174286,-1.4514286
25,44.0444444,46.2888889,45.7333333,-11.295735,-8.091361,-1.6352237,-4.9021561,14.7314286,3.30285714,0.05982857,-2.5428571
26,53.5722222,53.2666667,53.0305556,-6.9931064,-7.7006988,4.66092231,-6.8395209,16.9742857,3.39428571,0.06428571,-2.6228571
27,57.325,55.6055556,56.1277778,-4.5618013,-7.3795554,25.1323659,14.7021311,18.2416667,3.46944444,0.07877778,-1.7333333
28,44.7555556,44.5527778,44.9055556,-12.918934,-14.19869,-17.513287,-20.531318,13.8852941,1.87352941,0.04858824,-3.1882353
29,45.7545455,46.2151515,45.7909091,-9.3481334,-10.083332,3.31559196,-4.6715174,15.7466667,2.83666667,0.06333333,-2.5333333
30,45.1138889,45.4361111,45.3027778,-4.9534684,-3.8841117,-6.248866,-10.826687,18.0375,4.2875,0.0565625,-2.7875
31,38.9638889,38.7611111,39.0805556,-21.379508,-15.928259,-17.328923,-19.302658,9.475,1.46875,0.04871875,-3.1375
32,37.975,37.6666667,37.0611111,-23.803505,-15.306404,19.8362487,-8.3617362,8.21142857,1.61428571,0.07502857,-2.6857143
33,37.4805556,36.2861111,36.6583333,-21.480755,-18.880693,-15.322839,-25.726906,9.42222222,0.77777778,0.05013889,-3.4027778
34,38.1138889,39.9527778,37.8472222,-27.458342,-20.307949,-17.41721,-9.0860858,6.30625,0.44375,0.04865625,-2.715625
35,42.9055556,43.1388889,42.7222222,-11.793655,-9.8260693,-14.238867,-15.972812,14.471875,2.896875,0.05090625,-3
36,41.2305556,46.4472222,44.1361111,-20.9148,-15.102233,11.0280461,-2.6951826,9.71724138,1.66206897,0.0687931,-2.4517241
37,40.1027778,42.8777778,41.4555556,-22.936004,-17.076593,-41.887508,-41.070493,8.66363636,1.2,0.03133333,-4.0363636
38,42.8166667,43.2722222,42.2277778,-20.522237,-15.941612,-31.410748,-20.891903,9.921875,1.465625,0.03875,-3.203125
39,34.35,38.1305556,36.5694444,-24.493306,-16.696782,-44.294154,-50.235468,7.85185185,1.28888889,0.02962963,-4.4148148
40,39.9444444,35.7194444,37.4388889,-23.47173,-18.865856,-51.805115,-51.617298,8.384375,0.78125,0.0243125,-4.471875
41,35.6777778,38.15,36.7194444,-18.703383,-9.1290576,-40.004045,-31.310284,10.87,3.06,0.03266667,-3.6333333
42,38.7083333,44.3722222,41.6972222,-20.633262,-17.794435,-4.1052503,-16.747758,9.864,1.032,0.05808,-3.032
43,41.3333333,42.3416667,41.7277778,-17.897049,-13.975317,-80.726327,-56.36062,11.2903226,1.92580645,0.00383871,-4.6677419
44,33.5055556,41.5083333,38.0388889,-28.368936,-21.416927,-21.764198,-27.826426,5.83157895,0.18421053,0.04557895,-3.4894737
45,48.9861111,50.0527778,49.4166667,-7.644974,-7.8825588,14.6326037,13.0876603,16.6344828,3.35172414,0.07134483,-1.8
46,42.2305556,42.9777778,44.0666667,-16.932529,-7.7646866,-11.476083,-15.054234,11.7931035,3.37931035,0.05286207,-2.962069
47,41.6444444,46.0611111,44.9333333,-18.306428,-13.329616,52.3942781,42.2412756,11.0769231,2.07692308,0.09807692,-0.5961538
48,36.0916667,37.2861111,36.5111111,-23.551377,-13.15471,-36.354837,-31.021986,8.34285714,2.11785714,0.03525,-3.6214286
49,31.5472222,36.4388889,34.6472222,-29.005027,-19.733202,-46.964668,-48.402615,5.5,0.57826087,0.02773913,-4.3391304
50,34.8583333,39.2444444,37.0444444,-26.37412,-20.250724,-22.71655,-35.000503,6.87142857,0.45714286,0.04490476,-3.7857143
51,27.4666667,32.6944444,31.4805556,-26.571727,-17.436413,-97.606607,-89.834847,6.76842105,1.11578947,-0.0081111,-6.05
52,32.6944444,35.3083333,34.0083333,-33.210684,-21.842484,-52.029229,-43.170434,3.30769231,0.08461539,0.02415385,-4.1230769
53,31.8666667,35.2388889,34.2277778,-24.802884,-17.544574,-54.062748,-48.031588,7.69047619,1.09047619,0.02271429,-4.3238095
54,29.4916667,35.8,33.1972222,-29.715953,-23.460761,-81.163241,-68.253173,5.12941177,-0.2941176,0.00352941,-5.1588235
55,31.87,33.79,33.4766667,-28.025649,-20.832219,-141.76058,-114.88039,6.01052632,0.32105263,-0.0393684,-7.0842105
56,32.1266667,36.95,34.8433333,-25.157631,-17.62257,-83.716071,-83.780582,7.50555556,1.07222222,0.00172222,-5.8
57,32.08,39.5266667,36.5333333,-14.484445,-2.6803132,-18.996195,-21.74765,13.0692308,4.56923077,0.04753846,-3.2384615
58,32.32,38.09,35.1733333,-35.347637,-22.150624,-14.547873,-41.552083,2.19375,0.0125,0.0506875,-4.05625
59,23.1809524,30.8714286,28.1,-39.508101,-23.272252,-108.04413,-106.48408,0.025,-0.25,-0.0155,-6.7375
60,31.105,39.47,36.31,-24.535226,-14.085585,-25.83099,-25.659637,7.83,1.9,0.0427,-3.4